setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,1 i 2,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,3 i 4,3,3,0
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,50 a 54,3,1,1
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,0,4,1,1
22,2022,30/05/2022,05/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,4,2,2
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,25 a 29,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,35 a 39,3,1,0
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,5 a 9,3,1,0
44,2022,31/10/2022,06/11/2022,61,LLEIDA,6100,LLEIDA,Dona,1 i 2,4,1,1
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,50 a 54,4,1,0
44,2022,31/10/2022,06/11/2022,64,GIRONA,6400,GIRONA,Home,1 i 2,3,3,3
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 74,4,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,30 a 34,3,2,2
20,2023,15/05/2023,21/05/2023,61,LLEIDA,6100,LLEIDA,Dona,70 a 74,2,1,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,70 a 74,3,2,2
3,2023,16/01/2023,22/01/2023,64,GIRONA,6400,GIRONA,Dona,1 i 2,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7801,METROPOLITANA SUD,Home,20 a 24,2,1,0
28,2022,11/07/2022,17/07/2022,64,GIRONA,6400,GIRONA,Dona,1 i 2,3,2,2
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,0,4,1,0
28,2022,11/07/2022,17/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,40 a 44,4,1,0
20,2023,15/05/2023,21/05/2023,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,40 a 44,3,1,1
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,0,3,1,1
28,2022,11/07/2022,17/07/2022,64,GIRONA,6400,GIRONA,Home,1 i 2,3,2,1
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,0,3,2,2
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,15 a 19,3,1,0
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,40 a 44,4,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,1 i 2,4,2,1
20,2023,15/05/2023,21/05/2023,64,GIRONA,6400,GIRONA,Dona,0,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,15 a 19,3,2,2
19,2023,08/05/2023,14/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Home,50 a 54,3,1,1
20,2023,15/05/2023,21/05/2023,78,BARCELONA,7802,METROPOLITANA NORD,Dona,1 i 2,3,1,1
